Date,Clanmate,ChestName,ChestLevel,ChestType,ChestPoints
2025-09-10,Finda,Elven Citadel Chest,30,Citadel,0
2025-09-10,Finda,Elven Citadel Chest,30,Citadel,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,rami,Elegant Chest,10,Common Crypt,0
2025-09-10,Finda,Elven Citadel Chest,30,Citadel,0
2025-09-10,Fendis,Gnome Workshop Chest,15,Common Crypt,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Fendis,Gnome Workshop Chest,15,Common Crypt,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Fendis,Mayan Chest,15,Common Crypt,0
2025-09-10,Fendis,Stone Chest,15,Common Crypt,0
2025-09-10,Fendis,Trillium Chest,15,epic Crypt,0
2025-09-10,Fendis,Trillium Chest,15,epic Crypt,0
2025-09-10,Fendis,Rare Dragon Chest,10,rare Crypt,0
2025-09-10,Fendis,Rare Dragon Chest,10,rare Crypt,0
2025-09-10,Fendis,Orc Chest,15,Common Crypt,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Nightfang,sapphire Chest,25,Vault of the Ancients,0
2025-09-10,Fendis,Stone Chest,15,Common Crypt,0
2025-09-10,Kelerosir,Elegant Chest,15,Common Crypt,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,LosBoLos,sapphire Chest,40,Vault of the Ancients,0
2025-09-10,LosBoLos,sapphire Chest,15,Vault of the Ancients,0
2025-09-10,White Los,Rare Dragon Chest,10,rare Crypt,0
2025-09-10,LosBoLos,Sapphire Chest,30,Vault of the Ancients,0
2025-09-10,White Los,Rare Dragon Chest,20,rare Crypt,0
2025-09-10,White Los,Elven Citadel Chest,20,Citadel,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Serdriilas,Orc Chest,20,Common Crypt,0
2025-09-10,Serdriilas,sapphire Chest,20,Vault of the Ancients,0
2025-09-10,Serdriilas,Orc Chest,20,Common Crypt,0
2025-09-10,Serdriilas,Orc Chest,20,Common Crypt,0
2025-09-10,Serdriilas,Orc Chest,20,Common Crypt,0
2025-09-10,T-34,sapphire Chest,35,Vault of the Ancients,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Romazan,Cursed Citadel Chest,25,Citadel,0
2025-09-10,Serdriilas,Orc Chest,25,Common Crypt,0
2025-09-10,koi,Elven Citadel Chest,10,Citadel,0
2025-09-10,Romazan,Cursed Citadel Chest,25,Citadel,0
2025-09-10,Fray,Orc Chest,15,Common Crypt,0
2025-09-10,Romazan,Cursed Citadel Chest,25,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,25,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,20,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,20,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,20,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,20,Citadel,0
2025-09-10,Germano1,Forgotten Chest,15,Common Crypt,0
2025-09-10,Fray,Union Chest,0,Union of Triumph personal reward,0
2025-09-10,Fray,Union Chest,0,Union of Triumph personal reward,0
2025-09-10,Fray,Union Chest,0,Union of Triumph personal reward,0
2025-09-10,Fray,Union Chest,0,Union of Triumph personal reward,0
2025-09-10,Fray,Union Chest,0,Union of Triumph personal reward,0
2025-09-10,Fray,Union Chest,0,Union of Triumph personal reward,0
2025-09-10,Fray,Elven Citadel Chest,15,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,25,Citadel,0
2025-09-10,Fray,Stone Chest,20,Common Crypt,0
2025-09-10,Romazan,Elven Citadel Chest,15,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,20,Citadel,0
2025-09-10,YurasiK,Elven Citadel Chest,15,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,25,Citadel,0
2025-09-10,Vakums,Elven Citadel Chest,30,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,25,Citadel,0
2025-09-10,PizzaOnkel ll,Barbarian Chest,15,Common Crypt,0
2025-09-10,PizzaOnkel ll,Fire Chest,15,Common Crypt,0
2025-09-10,PizzaOnkel II,Gnome Workshop Chest,15,Common Crypt,0
2025-09-10,Romazan,Elven Citadel Chest,25,Citadel,0
2025-09-10,Vakums,Elven Citadel Chest,30,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,15,Citadel,0
2025-09-10,Huzar,Elven Citadel Chest,20,Citadel,0
2025-09-10,Romazan,sapphire Chest,35,Vault of the Ancients,0
2025-09-10,Huzar,Elven Citadel Chest,20,Citadel,0
2025-09-10,Romazan,Elven Citadel Chest,30,Citadel,0
2025-09-10,Vakums,Elven Citadel Chest,30,Citadel,0
